year,DHB,Earthquake-magnitude_max,Earthquake-magnitude_mean,Earthquake-depth_max,Earthquake-depth_mean,Earthquake-counts
2011,Bay of Plenty,4.621,2.4500717628705146,291.5071,63.782209672386905,641
2011,Canterbury,6.2,2.7198060626937655,66.4118,6.929218859800218,5806
2011,Capital & Coast,3.683,2.341083333333333,66.6043,35.44518333333333,36
2011,Counties Manukau,1.863,1.7433333333333334,12,7.333333333333333,3
2011,Hawke's Bay,4.7,2.330023872679045,84.6655,35.906967374005305,1508
2011,Hutt Valley,4,2.157662721893491,51.7901,27.061258579881656,169
2011,Lakes,5.6,2.289090464547677,251.8644,53.84012102689487,1227
2011,MidCentral,4.154,2.2535151515151517,77.1021,32.05199154040404,792
2011,Nelson Marlborough,4.409,1.9382765667574933,226.0831,66.45331920980927,734
2011,South Canterbury,4.042,2.6087857142857143,23.2991,6.609338095238096,42
2011,Southern,4.6,2.6317179300291547,145.884,48.78901975218661,1372
2011,Tairawhiti,4.8,2.3900736278447123,71.8221,29.159430120481925,747
2011,Taranaki,5.2,2.3238577319587628,261.9961,55.120209278350515,485
2011,Waikato,5.104,2.633870065789474,301.6331,95.80780065789473,608
2011,Wairarapa,3.772,2.1656287519747237,48.2297,24.556880726698264,633
2011,Waitemata,2.095,2.095,2,2,1
2011,West Coast,4.1,2.4671272015655576,224.5389,21.40305107632094,511
2011,Whanganui,4.143,2.1234957983193277,225.1553,32.37906036414566,714
2011,Auckland,0,0,0,0,0
2011,Northland,0,0,0,0,0
2012,Bay of Plenty,4.813628232,2.42752764531875,319.53125,118.59292179616249,160
2012,Canterbury,4.907542424,2.598997260460768,56.2109375,9.817689758602667,599
2012,Capital & Coast,3.130778823,2.0061691440909093,60.4296875,27.314150703181816,11
2012,Counties Manukau,1.961962637,1.961962637,14.31640625,14.31640625,1
2012,Hawke's Bay,4.45655714,2.3342911403849556,71.6796875,31.863995429867252,226
2012,Hutt Valley,3.324899357,2.0853961993076924,28.99785995,23.378583980961537,26
2012,Lakes,5.470350849,2.121028297433071,231.40625,74.89559095425,508
2012,MidCentral,5.010877371,2.2126099154948453,76.1328125,32.32067878072165,97
2012,Nelson Marlborough,4.680332164,2.6540583528827586,227.65625,73.25190936757932,145
2012,South Canterbury,3.156733347,2.6470403277,29.140625,10.421125,10
2012,Southern,5.208249266,2.853242073757062,143.046875,52.05920243793784,354
2012,Tairawhiti,4.666056744,2.530320763582609,80.1171875,29.87693279106956,115
2012,Taranaki,3.969589952,2.501713469166667,274.53125,113.77489666814814,108
2012,Waikato,5.597340944,1.9521316582204726,570.0188802,102.8356141273622,381
2012,Wairarapa,4.547983875,2.176156726425926,36.0546875,23.381008673703704,54
2012,Waitemata,0,0,0,0,0
2012,West Coast,5.438059973,2.843144189512,227.890625,37.021778228656004,125
2012,Whanganui,4.048238081,1.89159926825,162.03125,29.39929883761058,208
2012,Auckland,2.041829701,1.819674789,8.3984375,7.578125,2
2012,Northland,0,0,0,0,0
2013,Bay of Plenty,4.132045213,2.219413362934498,311.09375,86.64320858763756,229
2013,Canterbury,4.715072519,2.518027044489888,58.90625,9.481734520370786,445
2013,Capital & Coast,3.438095506,1.9975571756000001,60.546875,25.943359375,15
2013,Counties Manukau,1.449434595,1.275826558857143,9.74609375,7.008928571428571,7
2013,Hawke's Bay,4.942361323,2.456097724453202,66.9921875,29.834384223448275,203
2013,Hutt Valley,3.317765243,1.9808351712,31.07421875,23.467539850666668,15
2013,Lakes,4.175643531,2.1102283070603014,206.5625,74.58875565495312,597
2013,MidCentral,4.247215424,2.3395320656626506,65.1171875,29.775262924698794,83
2013,Nelson Marlborough,6.468769,2.7766770114894515,233.515625,27.9820195374135,711
2013,South Canterbury,4.16928101,2.664731465857143,21.7578125,6.009404761904762,21
2013,Southern,5.075652101,2.877469980627604,131.328125,43.44515800049479,384
2013,Tairawhiti,4.050103736,2.4934805001984732,74.2578125,26.56408032357252,131
2013,Taranaki,4.236140623,2.4937487158092106,280.625,118.67721277217105,152
2013,Waikato,4.31533809,2.0544333481572163,308.28125,106.67334835929125,388
2013,Wairarapa,4.321603623,2.0050778841864405,36.9921875,22.807756003559323,59
2013,Waitemata,1.477168239,1.477168239,5.41015625,5.41015625,1
2013,West Coast,4.622317632,2.699921213,263.28125,36.52740515455999,150
2013,Whanganui,4.538098521,1.715174331205575,236.3244476,30.02658378785715,287
2013,Auckland,3.992775777,1.988844475,9.5703125,7.335379464285714,7
2013,Northland,0,0,0,0,0
2014,Bay of Plenty,4.708192276,2.555829901265306,340.625,108.6810970784762,147
2014,Canterbury,4.503853721,2.7958834776185566,57.265625,12.73729837317526,194
2014,Capital & Coast,3.0171315,2.601037843,35.996094,24.017857214285716,7
2014,Counties Manukau,1.504483963,1.504483963,7.138671875,7.138671875,1
2014,Hawke's Bay,5.2433927,2.762713021123457,77.070312,25.942060333518516,162
2014,Hutt Valley,3.231624721,1.9122319571428572,35.64453125,21.46753557,7
2014,Lakes,5.082498274,2.0508612951838385,231.40625,54.80420257371716,495
2014,MidCentral,6.2297616,2.906194930347267,74.609375,29.225167970257232,311
2014,Nelson Marlborough,4.2581028,2.7780710867291667,237.03125,53.85842168333334,192
2014,South Canterbury,3.70869718,2.8114999217,15.078125,8.897751915,10
2014,Southern,5.119367896,3.0589569857388317,148.671875,51.65229083755327,291
2014,Tairawhiti,4.91795478,2.714739092222222,69.86328125,26.578552901481483,54
2014,Taranaki,3.8633515,2.6136761936239314,299.375,132.40685380553845,117
2014,Waikato,4.169532868,2.2329705483125,299.84375,117.29632791183984,256
