DHB,year,sex,cancer,incidence_num,incidence_rate,group
Lakes,2014,AllSex,Colorectal,58,34.2,AllSex
MidCentral,2014,AllSex,Colorectal,144,47.9,AllSex
Nelson Marlborough,2014,AllSex,Colorectal,122,41.5,AllSex
Northland,2014,AllSex,Colorectal,115,34.9,AllSex
South Canterbury,2014,AllSex,Colorectal,65,49.5,AllSex
Southern,2014,AllSex,Colorectal,312,56.9,AllSex
Tairawhiti,2014,AllSex,Colorectal,29,38.6,AllSex
Taranaki,2014,AllSex,Colorectal,103,47.8,AllSex
Waikato,2014,AllSex,Colorectal,305,48.9,AllSex
Wairarapa,2014,AllSex,Colorectal,42,46.2,AllSex
Waitemata,2014,AllSex,Colorectal,350,41.7,AllSex
West Coast,2014,AllSex,Colorectal,37,63.2,AllSex
Whanganui,2014,AllSex,Colorectal,58,47.1,AllSex
All New Zealand,2014,AllSex,Leukaemia,663,10.4,AllSex
Auckland,2014,AllSex,Leukaemia,47,8.6,AllSex
Bay of Plenty,2014,AllSex,Leukaemia,36,10.5,AllSex
Canterbury,2014,AllSex,Leukaemia,76,9.9,AllSex
Capital & Coast,2014,AllSex,Leukaemia,43,11.6,AllSex
Counties Manukau,2014,AllSex,Leukaemia,59,10,AllSex
Hawke's Bay,2014,AllSex,Leukaemia,28,10.7,AllSex
Hutt Valley,2014,AllSex,Leukaemia,20,10.8,AllSex
Lakes,2014,AllSex,Leukaemia,18,13.1,AllSex
MidCentral,2014,AllSex,Leukaemia,23,9.1,AllSex
Nelson Marlborough,2014,AllSex,Leukaemia,26,9.9,AllSex
Northland,2014,AllSex,Leukaemia,33,12.7,AllSex
South Canterbury,2014,AllSex,Leukaemia,12,10,AllSex
Southern,2014,AllSex,Leukaemia,46,9.6,AllSex
Tairawhiti,2014,AllSex,Leukaemia,4,0,AllSex
Taranaki,2014,AllSex,Leukaemia,19,11.9,AllSex
Waikato,2014,AllSex,Leukaemia,63,10.9,AllSex
Wairarapa,2014,AllSex,Leukaemia,7,7.7,AllSex
Waitemata,2014,AllSex,Leukaemia,76,9.9,AllSex
West Coast,2014,AllSex,Leukaemia,7,14.1,AllSex
Whanganui,2014,AllSex,Leukaemia,16,19,AllSex
All New Zealand,2014,AllSex,Lung,2284,31.1,AllSex
Auckland,2014,AllSex,Lung,160,26.6,AllSex
Bay of Plenty,2014,AllSex,Lung,144,33.9,AllSex
Canterbury,2014,AllSex,Lung,244,27.7,AllSex
Capital & Coast,2014,AllSex,Lung,118,27.8,AllSex
Counties Manukau,2014,AllSex,Lung,222,34.3,AllSex
Hawke's Bay,2014,AllSex,Lung,116,40.2,AllSex
Hutt Valley,2014,AllSex,Lung,76,33.7,AllSex
Lakes,2014,AllSex,Lung,63,38.4,AllSex
MidCentral,2014,AllSex,Lung,101,32.4,AllSex
Nelson Marlborough,2014,AllSex,Lung,70,22.9,AllSex
Northland,2014,AllSex,Lung,127,40.2,AllSex
South Canterbury,2014,AllSex,Lung,31,22.9,AllSex
Southern,2014,AllSex,Lung,164,29.7,AllSex
Tairawhiti,2014,AllSex,Lung,31,41.3,AllSex
Taranaki,2014,AllSex,Lung,65,31.9,AllSex
Waikato,2014,AllSex,Lung,201,31.2,AllSex
Wairarapa,2014,AllSex,Lung,24,23.6,AllSex
Waitemata,2014,AllSex,Lung,248,28.9,AllSex
West Coast,2014,AllSex,Lung,25,39.4,AllSex
Whanganui,2014,AllSex,Lung,47,38.6,AllSex
All New Zealand,2014,AllSex,Melanoma,2299,34.9,AllSex
Auckland,2014,AllSex,Melanoma,164,28.1,AllSex
Bay of Plenty,2014,AllSex,Melanoma,157,43.9,AllSex
Canterbury,2014,AllSex,Melanoma,304,40.6,AllSex
Capital & Coast,2014,AllSex,Melanoma,120,30.5,AllSex
Counties Manukau,2014,AllSex,Melanoma,158,25.3,AllSex
Hawke's Bay,2014,AllSex,Melanoma,63,23.7,AllSex
Hutt Valley,2014,AllSex,Melanoma,68,32.6,AllSex
Lakes,2014,AllSex,Melanoma,47,30.1,AllSex
MidCentral,2014,AllSex,Melanoma,106,41.2,AllSex
Nelson Marlborough,2014,AllSex,Melanoma,78,31.7,AllSex
Northland,2014,AllSex,Melanoma,107,37.7,AllSex
South Canterbury,2014,AllSex,Melanoma,45,37.3,AllSex
Southern,2014,AllSex,Melanoma,178,39,AllSex
Tairawhiti,2014,AllSex,Melanoma,18,31.8,AllSex
Taranaki,2014,AllSex,Melanoma,92,52.8,AllSex
Waikato,2014,AllSex,Melanoma,199,35.4,AllSex
Wairarapa,2014,AllSex,Melanoma,39,47.7,AllSex
Waitemata,2014,AllSex,Melanoma,297,37.1,AllSex
West Coast,2014,AllSex,Melanoma,21,43.5,AllSex
Whanganui,2014,AllSex,Melanoma,36,34.8,AllSex
All New Zealand,2014,AllSex,Non-Hodgkin lymphoma,778,11.7,AllSex
Auckland,2014,AllSex,Non-Hodgkin lymphoma,66,11.7,AllSex
Bay of Plenty,2014,AllSex,Non-Hodgkin lymphoma,47,14.1,AllSex
Canterbury,2014,AllSex,Non-Hodgkin lymphoma,104,13.4,AllSex
Capital & Coast,2014,AllSex,Non-Hodgkin lymphoma,33,8.4,AllSex
Counties Manukau,2014,AllSex,Non-Hodgkin lymphoma,70,11.3,AllSex
Hawke's Bay,2014,AllSex,Non-Hodgkin lymphoma,29,9.9,AllSex
Hutt Valley,2014,AllSex,Non-Hodgkin lymphoma,20,9,AllSex
Lakes,2014,AllSex,Non-Hodgkin lymphoma,17,10.4,AllSex
MidCentral,2014,AllSex,Non-Hodgkin lymphoma,37,13.5,AllSex
Nelson Marlborough,2014,AllSex,Non-Hodgkin lymphoma,29,10.2,AllSex
Northland,2014,AllSex,Non-Hodgkin lymphoma,39,13.8,AllSex
South Canterbury,2014,AllSex,Non-Hodgkin lymphoma,11,8.3,AllSex
Southern,2014,AllSex,Non-Hodgkin lymphoma,52,10.9,AllSex
Tairawhiti,2014,AllSex,Non-Hodgkin lymphoma,11,16.4,AllSex
Taranaki,2014,AllSex,Non-Hodgkin lymphoma,19,9.7,AllSex
Waikato,2014,AllSex,Non-Hodgkin lymphoma,80,14.3,AllSex
Wairarapa,2014,AllSex,Non-Hodgkin lymphoma,9,12.2,AllSex
Waitemata,2014,AllSex,Non-Hodgkin lymphoma,83,10.6,AllSex
West Coast,2014,AllSex,Non-Hodgkin lymphoma,5,0,AllSex
Whanganui,2014,AllSex,Non-Hodgkin lymphoma,14,11.7,AllSex
All New Zealand,2014,AllSex,Pancreas,576,7.7,AllSex
Auckland,2014,AllSex,Pancreas,48,8.1,AllSex
Bay of Plenty,2014,AllSex,Pancreas,30,6.8,AllSex
Canterbury,2014,AllSex,Pancreas,67,7.4,AllSex
Capital & Coast,2014,AllSex,Pancreas,35,7.5,AllSex
Counties Manukau,2014,AllSex,Pancreas,53,8.3,AllSex
Hawke's Bay,2014,AllSex,Pancreas,25,7,AllSex
Hutt Valley,2014,AllSex,Pancreas,21,9.2,AllSex
Lakes,2014,AllSex,Pancreas,9,5.7,AllSex
MidCentral,2014,AllSex,Pancreas,17,5.6,AllSex
Nelson Marlborough,2014,AllSex,Pancreas,26,9,AllSex
Northland,2014,AllSex,Pancreas,28,8.1,AllSex
South Canterbury,2014,AllSex,Pancreas,18,13.5,AllSex
Southern,2014,AllSex,Pancreas,49,8.9,AllSex
Tairawhiti,2014,AllSex,Pancreas,12,15.9,AllSex
Taranaki,2014,AllSex,Pancreas,8,4,AllSex
Waikato,2014,AllSex,Pancreas,35,5.5,AllSex
Wairarapa,2014,AllSex,Pancreas,6,7.2,AllSex
Waitemata,2014,AllSex,Pancreas,68,7.4,AllSex
West Coast,2014,AllSex,Pancreas,8,13.4,AllSex
Whanganui,2014,AllSex,Pancreas,10,7.7,AllSex
All New Zealand,2015,AllSex,Colorectal,3101,41.5,AllSex
Auckland,2015,AllSex,Colorectal,250,40.4,AllSex
Bay of Plenty,2015,AllSex,Colorectal,174,38.4,AllSex
Canterbury,2015,AllSex,Colorectal,356,41.2,AllSex
Capital & Coast,2015,AllSex,Colorectal,147,33.7,AllSex
Counties Manukau,2015,AllSex,Colorectal,259,38.7,AllSex
Hawke's Bay,2015,AllSex,Colorectal,148,47.4,AllSex
Hutt Valley,2015,AllSex,Colorectal,96,40.4,AllSex
Lakes,2015,AllSex,Colorectal,65,36.2,AllSex
MidCentral,2015,AllSex,Colorectal,140,44.4,AllSex
Nelson Marlborough,2015,AllSex,Colorectal,123,39.7,AllSex
Northland,2015,AllSex,Colorectal,124,38.2,AllSex
South Canterbury,2015,AllSex,Colorectal,54,39.9,AllSex
Southern,2015,AllSex,Colorectal,325,59.2,AllSex
Tairawhiti,2015,AllSex,Colorectal,40,51.9,AllSex
Taranaki,2015,AllSex,Colorectal,88,41.7,AllSex
Waikato,2015,AllSex,Colorectal,243,38.3,AllSex
Wairarapa,2015,AllSex,Colorectal,40,43.8,AllSex
Waitemata,2015,AllSex,Colorectal,338,39.1,AllSex
West Coast,2015,AllSex,Colorectal,32,47.3,AllSex
Whanganui,2015,AllSex,Colorectal,52,43.3,AllSex
All New Zealand,2015,AllSex,Leukaemia,719,11,AllSex
Auckland,2015,AllSex,Leukaemia,62,11.6,AllSex
Bay of Plenty,2015,AllSex,Leukaemia,35,7.8,AllSex
Canterbury,2015,AllSex,Leukaemia,77,10.2,AllSex
Capital & Coast,2015,AllSex,Leukaemia,52,13.7,AllSex
Counties Manukau,2015,AllSex,Leukaemia,70,11.6,AllSex
Hawke's Bay,2015,AllSex,Leukaemia,31,11.1,AllSex
Hutt Valley,2015,AllSex,Leukaemia,19,9.4,AllSex
Lakes,2015,AllSex,Leukaemia,12,7.6,AllSex
MidCentral,2015,AllSex,Leukaemia,19,7.1,AllSex
Nelson Marlborough,2015,AllSex,Leukaemia,31,12.8,AllSex
Northland,2015,AllSex,Leukaemia,27,9.3,AllSex
South Canterbury,2015,AllSex,Leukaemia,15,11.2,AllSex
Southern,2015,AllSex,Leukaemia,42,9.1,AllSex
Tairawhiti,2015,AllSex,Leukaemia,9,12.8,AllSex
Taranaki,2015,AllSex,Leukaemia,26,13.1,AllSex
Waikato,2015,AllSex,Leukaemia,58,9.5,AllSex
Wairarapa,2015,AllSex,Leukaemia,12,14.5,AllSex
Waitemata,2015,AllSex,Leukaemia,101,13.4,AllSex
West Coast,2015,AllSex,Leukaemia,10,15.5,AllSex
Whanganui,2015,AllSex,Leukaemia,10,8.6,AllSex
All New Zealand,2015,AllSex,Lung,2275,30.3,AllSex
Auckland,2015,AllSex,Lung,156,25,AllSex
Bay of Plenty,2015,AllSex,Lung,146,33.6,AllSex
Canterbury,2015,AllSex,Lung,242,27.2,AllSex
Capital & Coast,2015,AllSex,Lung,109,25.1,AllSex
Counties Manukau,2015,AllSex,Lung,250,37.5,AllSex
Hawke's Bay,2015,AllSex,Lung,94,30,AllSex
Hutt Valley,2015,AllSex,Lung,57,25.6,AllSex
Lakes,2015,AllSex,Lung,65,35.8,AllSex
MidCentral,2015,AllSex,Lung,92,28.3,AllSex
Nelson Marlborough,2015,AllSex,Lung,78,24.5,AllSex
Northland,2015,AllSex,Lung,134,39.9,AllSex
South Canterbury,2015,AllSex,Lung,25,21,AllSex
Southern,2015,AllSex,Lung,156,28.1,AllSex
Tairawhiti,2015,AllSex,Lung,27,36.9,AllSex
Taranaki,2015,AllSex,Lung,67,32.5,AllSex
Waikato,2015,AllSex,Lung,241,37.5,AllSex
Wairarapa,2015,AllSex,Lung,27,31.4,AllSex
Waitemata,2015,AllSex,Lung,239,27.2,AllSex
West Coast,2015,AllSex,Lung,16,24.6,AllSex
Whanganui,2015,AllSex,Lung,45,33.4,AllSex
All New Zealand,2015,AllSex,Melanoma,2429,35.4,AllSex
Auckland,2015,AllSex,Melanoma,209,35,AllSex
Bay of Plenty,2015,AllSex,Melanoma,188,46.9,AllSex
Canterbury,2015,AllSex,Melanoma,309,39.7,AllSex
Capital & Coast,2015,AllSex,Melanoma,138,33.5,AllSex
Counties Manukau,2015,AllSex,Melanoma,185,28.6,AllSex
Hawke's Bay,2015,AllSex,Melanoma,78,29.2,AllSex
Hutt Valley,2015,AllSex,Melanoma,52,23.4,AllSex
Lakes,2015,AllSex,Melanoma,54,32.9,AllSex
MidCentral,2015,AllSex,Melanoma,90,34.1,AllSex
Nelson Marlborough,2015,AllSex,Melanoma,89,32.9,AllSex
Northland,2015,AllSex,Melanoma,91,31.2,AllSex
South Canterbury,2015,AllSex,Melanoma,31,27.1,AllSex
Southern,2015,AllSex,Melanoma,167,34.4,AllSex
Tairawhiti,2015,AllSex,Melanoma,28,38.2,AllSex
Taranaki,2015,AllSex,Melanoma,91,50.2,AllSex
Waikato,2015,AllSex,Melanoma,203,33.9,AllSex
Wairarapa,2015,AllSex,Melanoma,27,33.6,AllSex
Waitemata,2015,AllSex,Melanoma,329,40.1,AllSex
West Coast,2015,AllSex,Melanoma,24,45.9,AllSex
Whanganui,2015,AllSex,Melanoma,45,42.2,AllSex
All New Zealand,2015,AllSex,Non-Hodgkin lymphoma,851,12.1,AllSex
Auckland,2015,AllSex,Non-Hodgkin lymphoma,86,14.4,AllSex
Bay of Plenty,2015,AllSex,Non-Hodgkin lymphoma,47,11.6,AllSex
Canterbury,2015,AllSex,Non-Hodgkin lymphoma,93,11.2,AllSex
Capital & Coast,2015,AllSex,Non-Hodgkin lymphoma,69,16.1,AllSex
Counties Manukau,2015,AllSex,Non-Hodgkin lymphoma,69,10.5,AllSex
Hawke's Bay,2015,AllSex,Non-Hodgkin lymphoma,26,9.3,AllSex
Hutt Valley,2015,AllSex,Non-Hodgkin lymphoma,26,11.5,AllSex
Lakes,2015,AllSex,Non-Hodgkin lymphoma,22,11.1,AllSex
MidCentral,2015,AllSex,Non-Hodgkin lymphoma,36,13.6,AllSex
Nelson Marlborough,2015,AllSex,Non-Hodgkin lymphoma,34,11.5,AllSex
Northland,2015,AllSex,Non-Hodgkin lymphoma,35,10.6,AllSex
South Canterbury,2015,AllSex,Non-Hodgkin lymphoma,12,11.9,AllSex
Southern,2015,AllSex,Non-Hodgkin lymphoma,66,13.1,AllSex
Tairawhiti,2015,AllSex,Non-Hodgkin lymphoma,5,0,AllSex
Taranaki,2015,AllSex,Non-Hodgkin lymphoma,18,9.2,AllSex
Waikato,2015,AllSex,Non-Hodgkin lymphoma,67,11.9,AllSex
Wairarapa,2015,AllSex,Non-Hodgkin lymphoma,13,12.4,AllSex
Waitemata,2015,AllSex,Non-Hodgkin lymphoma,100,12.5,AllSex
West Coast,2015,AllSex,Non-Hodgkin lymphoma,6,9.8,AllSex
Whanganui,2015,AllSex,Non-Hodgkin lymphoma,18,16,AllSex
All New Zealand,2015,AllSex,Pancreas,595,7.8,AllSex
Auckland,2015,AllSex,Pancreas,39,6.3,AllSex
Bay of Plenty,2015,AllSex,Pancreas,47,10.2,AllSex
Canterbury,2015,AllSex,Pancreas,55,5.8,AllSex
Capital & Coast,2015,AllSex,Pancreas,26,6.3,AllSex
Counties Manukau,2015,AllSex,Pancreas,51,7.7,AllSex
Hawke's Bay,2015,AllSex,Pancreas,28,9.3,AllSex
Hutt Valley,2015,AllSex,Pancreas,13,5.4,AllSex
Lakes,2015,AllSex,Pancreas,11,5.7,AllSex
MidCentral,2015,AllSex,Pancreas,33,10.1,AllSex
Nelson Marlborough,2015,AllSex,Pancreas,28,8.7,AllSex
Northland,2015,AllSex,Pancreas,31,9.2,AllSex
South Canterbury,2015,AllSex,Pancreas,13,9.5,AllSex
Southern,2015,AllSex,Pancreas,48,8.1,AllSex
Tairawhiti,2015,AllSex,Pancreas,7,10,AllSex
Taranaki,2015,AllSex,Pancreas,20,10,AllSex
Waikato,2015,AllSex,Pancreas,49,7.4,AllSex
Wairarapa,2015,AllSex,Pancreas,6,6.6,AllSex
Waitemata,2015,AllSex,Pancreas,70,7.9,AllSex
West Coast,2015,AllSex,Pancreas,4,0,AllSex
Whanganui,2015,AllSex,Pancreas,14,12.1,AllSex
All New Zealand,2016,AllSex,Colorectal,3166,41.2,AllSex
Auckland,2016,AllSex,Colorectal,223,35.6,AllSex
Bay of Plenty,2016,AllSex,Colorectal,204,43.2,AllSex
Canterbury,2016,AllSex,Colorectal,376,41.7,AllSex
Capital & Coast,2016,AllSex,Colorectal,172,38.9,AllSex
Counties Manukau,2016,AllSex,Colorectal,272,40,AllSex
Hawke's Bay,2016,AllSex,Colorectal,161,50,AllSex
Hutt Valley,2016,AllSex,Colorectal,88,39,AllSex
Lakes,2016,AllSex,Colorectal,80,43.6,AllSex
MidCentral,2016,AllSex,Colorectal,123,37.3,AllSex
Nelson Marlborough,2016,AllSex,Colorectal,111,34.6,AllSex
Northland,2016,AllSex,Colorectal,138,39.9,AllSex
South Canterbury,2016,AllSex,Colorectal,61,44.3,AllSex
Southern,2016,AllSex,Colorectal,261,44.1,AllSex
Tairawhiti,2016,AllSex,Colorectal,26,34.3,AllSex
Taranaki,2016,AllSex,Colorectal,104,48.8,AllSex
Waikato,2016,AllSex,Colorectal,291,44.3,AllSex
Wairarapa,2016,AllSex,Colorectal,42,43.1,AllSex
Waitemata,2016,AllSex,Colorectal,342,38.7,AllSex
West Coast,2016,AllSex,Colorectal,26,39.7,AllSex
Whanganui,2016,AllSex,Colorectal,61,47,AllSex
All New Zealand,2016,AllSex,Leukaemia,702,10.4,AllSex
Auckland,2016,AllSex,Leukaemia,60,10.5,AllSex
Bay of Plenty,2016,AllSex,Leukaemia,33,8.1,AllSex
Canterbury,2016,AllSex,Leukaemia,99,12.7,AllSex
Capital & Coast,2016,AllSex,Leukaemia,44,11.2,AllSex
Counties Manukau,2016,AllSex,Leukaemia,66,10.5,AllSex
Hawke's Bay,2016,AllSex,Leukaemia,23,7.8,AllSex
Hutt Valley,2016,AllSex,Leukaemia,16,7.1,AllSex
Lakes,2016,AllSex,Leukaemia,19,12.9,AllSex
MidCentral,2016,AllSex,Leukaemia,33,11.9,AllSex
Nelson Marlborough,2016,AllSex,Leukaemia,18,7.3,AllSex
Northland,2016,AllSex,Leukaemia,37,13.5,AllSex
South Canterbury,2016,AllSex,Leukaemia,14,18.2,AllSex
Southern,2016,AllSex,Leukaemia,41,8.9,AllSex
Tairawhiti,2016,AllSex,Leukaemia,8,9.8,AllSex
Taranaki,2016,AllSex,Leukaemia,21,12.1,AllSex
Waikato,2016,AllSex,Leukaemia,50,8,AllSex
Wairarapa,2016,AllSex,Leukaemia,5,0,AllSex
Waitemata,2016,AllSex,Leukaemia,93,11,AllSex
West Coast,2016,AllSex,Leukaemia,6,11.9,AllSex
Whanganui,2016,AllSex,Leukaemia,13,11.3,AllSex
All New Zealand,2016,AllSex,Lung,2309,29.6,AllSex
Auckland,2016,AllSex,Lung,169,26.7,AllSex
Bay of Plenty,2016,AllSex,Lung,129,27.9,AllSex
Canterbury,2016,AllSex,Lung,241,26,AllSex
Capital & Coast,2016,AllSex,Lung,112,24.6,AllSex
Counties Manukau,2016,AllSex,Lung,248,36.1,AllSex
Hawke's Bay,2016,AllSex,Lung,94,29.8,AllSex
Hutt Valley,2016,AllSex,Lung,72,30.4,AllSex
Lakes,2016,AllSex,Lung,60,32.4,AllSex
MidCentral,2016,AllSex,Lung,101,29.9,AllSex
Nelson Marlborough,2016,AllSex,Lung,87,26.3,AllSex
Northland,2016,AllSex,Lung,161,45.4,AllSex
South Canterbury,2016,AllSex,Lung,41,30,AllSex
Southern,2016,AllSex,Lung,161,27.3,AllSex
Tairawhiti,2016,AllSex,Lung,30,39.7,AllSex
Taranaki,2016,AllSex,Lung,72,31.9,AllSex
Waikato,2016,AllSex,Lung,202,29.9,AllSex
Wairarapa,2016,AllSex,Lung,23,22.7,AllSex
Waitemata,2016,AllSex,Lung,231,26.1,AllSex
West Coast,2016,AllSex,Lung,25,36,AllSex
Whanganui,2016,AllSex,Lung,42,33.5,AllSex
All New Zealand,2016,AllSex,Melanoma,2575,36.3,AllSex
Auckland,2016,AllSex,Melanoma,216,35.7,AllSex
Bay of Plenty,2016,AllSex,Melanoma,157,38.7,AllSex
Canterbury,2016,AllSex,Melanoma,305,37,AllSex
Capital & Coast,2016,AllSex,Melanoma,131,31.2,AllSex
Counties Manukau,2016,AllSex,Melanoma,203,30.2,AllSex
Hawke's Bay,2016,AllSex,Melanoma,72,23.6,AllSex
Hutt Valley,2016,AllSex,Melanoma,76,34.2,AllSex
Lakes,2016,AllSex,Melanoma,63,37.3,AllSex
MidCentral,2016,AllSex,Melanoma,108,35.9,AllSex
Nelson Marlborough,2016,AllSex,Melanoma,111,42.9,AllSex
Northland,2016,AllSex,Melanoma,120,38.3,AllSex
South Canterbury,2016,AllSex,Melanoma,37,33.4,AllSex
Southern,2016,AllSex,Melanoma,181,35.4,AllSex
Tairawhiti,2016,AllSex,Melanoma,25,35,AllSex
Taranaki,2016,AllSex,Melanoma,96,53.5,AllSex
Waikato,2016,AllSex,Melanoma,217,35.3,AllSex
Wairarapa,2016,AllSex,Melanoma,29,36.7,AllSex
Waitemata,2016,AllSex,Melanoma,354,42.8,AllSex
West Coast,2016,AllSex,Melanoma,18,28.1,AllSex
Whanganui,2016,AllSex,Melanoma,54,45.1,AllSex
All New Zealand,2016,AllSex,Non-Hodgkin lymphoma,931,13.3,AllSex
Auckland,2016,AllSex,Non-Hodgkin lymphoma,61,9.9,AllSex
Bay of Plenty,2016,AllSex,Non-Hodgkin lymphoma,36,8,AllSex
Canterbury,2016,AllSex,Non-Hodgkin lymphoma,120,14.3,AllSex
Capital & Coast,2016,AllSex,Non-Hodgkin lymphoma,60,14.5,AllSex
Counties Manukau,2016,AllSex,Non-Hodgkin lymphoma,92,14.1,AllSex
Hawke's Bay,2016,AllSex,Non-Hodgkin lymphoma,41,15.3,AllSex
Hutt Valley,2016,AllSex,Non-Hodgkin lymphoma,40,18.9,AllSex
Lakes,2016,AllSex,Non-Hodgkin lymphoma,28,17.9,AllSex
MidCentral,2016,AllSex,Non-Hodgkin lymphoma,40,14.4,AllSex
Nelson Marlborough,2016,AllSex,Non-Hodgkin lymphoma,35,14.8,AllSex
Northland,2016,AllSex,Non-Hodgkin lymphoma,44,15.9,AllSex
South Canterbury,2016,AllSex,Non-Hodgkin lymphoma,13,10.9,AllSex
Southern,2016,AllSex,Non-Hodgkin lymphoma,64,12.5,AllSex
Tairawhiti,2016,AllSex,Non-Hodgkin lymphoma,8,11.9,AllSex
Taranaki,2016,AllSex,Non-Hodgkin lymphoma,22,10.5,AllSex
Waikato,2016,AllSex,Non-Hodgkin lymphoma,67,11.1,AllSex
Wairarapa,2016,AllSex,Non-Hodgkin lymphoma,10,15.1,AllSex
Waitemata,2016,AllSex,Non-Hodgkin lymphoma,125,14.9,AllSex
West Coast,2016,AllSex,Non-Hodgkin lymphoma,6,8.3,AllSex
Whanganui,2016,AllSex,Non-Hodgkin lymphoma,16,12.6,AllSex
All New Zealand,2016,AllSex,Pancreas,597,7.7,AllSex
Auckland,2016,AllSex,Pancreas,45,7,AllSex
Bay of Plenty,2016,AllSex,Pancreas,26,5.5,AllSex
Canterbury,2016,AllSex,Pancreas,58,6.4,AllSex
Capital & Coast,2016,AllSex,Pancreas,28,5.9,AllSex
Counties Manukau,2016,AllSex,Pancreas,56,8.2,AllSex
Hawke's Bay,2016,AllSex,Pancreas,31,9,AllSex
Hutt Valley,2016,AllSex,Pancreas,20,7.6,AllSex
Lakes,2016,AllSex,Pancreas,16,9.1,AllSex
MidCentral,2016,AllSex,Pancreas,38,11.8,AllSex
Nelson Marlborough,2016,AllSex,Pancreas,30,8.9,AllSex
Northland,2016,AllSex,Pancreas,36,10.5,AllSex
South Canterbury,2016,AllSex,Pancreas,5,0,AllSex
Southern,2016,AllSex,Pancreas,43,7.3,AllSex
Tairawhiti,2016,AllSex,Pancreas,6,7,AllSex
Taranaki,2016,AllSex,Pancreas,18,8.7,AllSex
Waikato,2016,AllSex,Pancreas,47,7.2,AllSex
Wairarapa,2016,AllSex,Pancreas,6,5.6,AllSex
Waitemata,2016,AllSex,Pancreas,66,7.4,AllSex
West Coast,2016,AllSex,Pancreas,6,8.5,AllSex
Whanganui,2016,AllSex,Pancreas,12,10.3,AllSex
All New Zealand,2017,AllSex,Colorectal,3031,39.2,AllSex
Auckland,2017,AllSex,Colorectal,208,32.5,AllSex
Bay of Plenty,2017,AllSex,Colorectal,182,39.5,AllSex
Canterbury,2017,AllSex,Colorectal,403,43.8,AllSex
Capital & Coast,2017,AllSex,Colorectal,159,36.1,AllSex
Counties Manukau,2017,AllSex,Colorectal,232,33.3,AllSex
Hawke's Bay,2017,AllSex,Colorectal,104,33.9,AllSex
Hutt Valley,2017,AllSex,Colorectal,81,35.2,AllSex
Lakes,2017,AllSex,Colorectal,65,34,AllSex
MidCentral,2017,AllSex,Colorectal,143,43.1,AllSex
Nelson Marlborough,2017,AllSex,Colorectal,137,42.7,AllSex
Northland,2017,AllSex,Colorectal,135,39,AllSex
South Canterbury,2017,AllSex,Colorectal,52,41.5,AllSex
Southern,2017,AllSex,Colorectal,256,43.5,AllSex
Tairawhiti,2017,AllSex,Colorectal,29,40,AllSex
Taranaki,2017,AllSex,Colorectal,87,40,AllSex
Waikato,2017,AllSex,Colorectal,288,41.7,AllSex
Wairarapa,2017,AllSex,Colorectal,34,40.9,AllSex
Waitemata,2017,AllSex,Colorectal,355,40.5,AllSex
West Coast,2017,AllSex,Colorectal,28,46.8,AllSex
Whanganui,2017,AllSex,Colorectal,48,39.4,AllSex
All New Zealand,2017,AllSex,Leukaemia,743,10.4,AllSex
Auckland,2017,AllSex,Leukaemia,51,7.8,AllSex
Bay of Plenty,2017,AllSex,Leukaemia,38,8.8,AllSex
Canterbury,2017,AllSex,Leukaemia,84,10.3,AllSex
Capital & Coast,2017,AllSex,Leukaemia,55,12.3,AllSex
Counties Manukau,2017,AllSex,Leukaemia,62,9.4,AllSex
Hawke's Bay,2017,AllSex,Leukaemia,27,12.3,AllSex
Hutt Valley,2017,AllSex,Leukaemia,26,11.8,AllSex
Lakes,2017,AllSex,Leukaemia,15,8.6,AllSex
MidCentral,2017,AllSex,Leukaemia,32,10.6,AllSex
Nelson Marlborough,2017,AllSex,Leukaemia,20,7.2,AllSex
Northland,2017,AllSex,Leukaemia,37,11.6,AllSex
South Canterbury,2017,AllSex,Leukaemia,9,8.7,AllSex
Southern,2017,AllSex,Leukaemia,46,8.8,AllSex
Tairawhiti,2017,AllSex,Leukaemia,6,10.5,AllSex
Taranaki,2017,AllSex,Leukaemia,20,11.2,AllSex
Waikato,2017,AllSex,Leukaemia,74,11.2,AllSex
Wairarapa,2017,AllSex,Leukaemia,17,22.1,AllSex
Waitemata,2017,AllSex,Leukaemia,99,11.7,AllSex
West Coast,2017,AllSex,Leukaemia,5,0,AllSex
Whanganui,2017,AllSex,Leukaemia,17,11.5,AllSex
All New Zealand,2017,AllSex,Lung,2289,28.6,AllSex
Auckland,2017,AllSex,Lung,158,24.2,AllSex
Bay of Plenty,2017,AllSex,Lung,152,31.5,AllSex
Canterbury,2017,AllSex,Lung,250,26.6,AllSex
Capital & Coast,2017,AllSex,Lung,87,18.4,AllSex
Counties Manukau,2017,AllSex,Lung,256,36.6,AllSex
Hawke's Bay,2017,AllSex,Lung,116,36.4,AllSex
Hutt Valley,2017,AllSex,Lung,71,29.6,AllSex
Lakes,2017,AllSex,Lung,55,28.9,AllSex
MidCentral,2017,AllSex,Lung,109,31.8,AllSex
Nelson Marlborough,2017,AllSex,Lung,79,23.7,AllSex
Northland,2017,AllSex,Lung,137,37.6,AllSex
South Canterbury,2017,AllSex,Lung,34,24.7,AllSex
Southern,2017,AllSex,Lung,142,22.5,AllSex
Tairawhiti,2017,AllSex,Lung,31,39.9,AllSex
Taranaki,2017,AllSex,Lung,59,26.2,AllSex
