year,DHB,Temperature-Average_Annual,Temperature-Average_Autumn,Temperature-Average_Spring,Temperature-Average_Summer,Temperature-Average_Winter,Temperature-Maximum_Annual,Temperature-Maximum_Autumn,Temperature-Maximum_Spring,Temperature-Maximum_Summer,Temperature-Maximum_Winter,Temperature-Minimum_Annual,Temperature-Minimum_Autumn,Temperature-Minimum_Spring,Temperature-Minimum_Summer,Temperature-Minimum_Winter
2011,Bay of Plenty,15.6916666666666,16.6,14.5666666666666,20.7,11.4333333333333,19.8166666666666,20.7,18.9666666666666,24.5,15.8,11.575,12.5,10.1666666666666,16.9,7.1
2011,Canterbury,11.6416666666666,12.5,10.9,17.4,6.56666666666666,16.8166666666666,17.4666666666666,16.2333333333333,22.8666666666666,11.9666666666666,6.43333333333333,7.5,5.53333333333333,11.9333333333333,1.16666666666666
2011,Capital & Coast,13.0583333333333,14.2,11.9666666666666,17,9.46666666666666,15.9166666666666,17,15.0333333333333,20.1666666666666,11.9333333333333,10.1916666666666,11.3666666666666,8.93333333333333,13.8666666666666,6.96666666666666
2011,Counties Manukau,15.8416666666666,16.8666666666666,14.6,20.7,11.8666666666666,19.325,20.6,18,24.1,15.2333333333333,12.3666666666666,13.133333333333301,11.1666666666666,17.3333333333333,8.5
2011,Hawke's Bay,14.4083333333333,14.633333333333301,14.0333333333333,20.2333333333333,9.56666666666666,19.516666666666602,20.4666666666666,18.9333333333333,24.8666666666666,14.8,9.3,8.83333333333333,9.06666666666666,15.6,4.4
2011,Lakes,12.633333333333301,13.5833333333333,11.34999999999995,18.4333333333333,7.95,17.1958333333333,18.049999999999997,16.16666666666665,23.2333333333333,12.21666666666665,8.05833333333333,9.099999999999994,6.549999999999995,13.61666666666665,3.63333333333333
2011,MidCentral,12.2166666666666,12.9666666666666,11.0666666666666,18.2,7.73333333333333,16.5333333333333,17.4666666666666,15.4333333333333,22.8333333333333,11.4333333333333,7.88333333333333,8.46666666666666,6.66666666666666,13.5,4.03333333333333
2011,Nelson Marlborough,13.02916666666665,14.049999999999951,12.2,18.366666666666603,8.16666666666666,18.2833333333333,19.299999999999947,17.49999999999995,23.6833333333333,13.566666666666649,7.7416666666666645,8.766666666666666,6.86666666666666,13.0333333333333,2.71666666666666
2011,Northland,16.1333333333333,17.36666666666665,14.86666666666665,20.516666666666602,12.316666666666599,20.35416666666665,21.533333333333303,19.5,24.783333333333303,16.3833333333333,11.90416666666665,13.133333333333301,10.249999999999979,16.25,8.249999999999995
2011,South Canterbury,9.7625,10.416666666666629,9.149999999999995,15.099999999999952,4.68333333333333,15.487499999999951,15.8333333333333,15.316666666666599,20.9666666666666,10.266666666666666,4.03333333333333,4.983333333333331,2.999999999999995,9.199999999999996,-0.8999999999999966
2011,Southern,10.313888888888865,10.883333333333301,9.87222222222221,14.961111111111084,5.42222222222222,15.063888888888867,15.4333333333333,14.811111111111067,19.73888888888885,9.899999999999975,5.568055555555552,6.349999999999997,4.916666666666662,10.199999999999996,0.9388888888888884
2011,Tairawhiti,14.7666666666666,15.6,13.7666666666666,19.9666666666666,10.3333333333333,19.6916666666666,20.4,19.1333333333333,24.8666666666666,15.1,9.86666666666666,10.8666666666666,8.46666666666666,15,5.63333333333333
2011,Taranaki,14.1083333333333,15.5,12.7333333333333,18.266666666666602,10.2333333333333,17.9666666666666,19.4333333333333,16.266666666666602,22.6,13.9333333333333,10.225,11.5333333333333,9.13333333333333,14,6.5
2011,Waikato,13.5958333333333,14.24999999999995,12.55,19.3166666666666,8.799999999999994,18.9833333333333,19.96666666666665,17.71666666666665,25.14999999999995,13.883333333333301,8.17083333333333,8.5,7.366666666666665,13.4333333333333,3.68333333333333
2011,Wairarapa,12.6083333333333,13.3666666666666,11.3666666666666,18.5333333333333,8,18.3166666666666,19.1666666666666,17.3333333333333,24.6666666666666,13.1666666666666,6.90833333333333,7.53333333333333,5.43333333333333,12.4,2.86666666666666
2011,Waitemata,16.1,17.5333333333333,14.5666666666666,20.5,12.3333333333333,19.3416666666666,20.6333333333333,18.2,24.0666666666666,15.2,12.883333333333301,14.5,10.9666666666666,16.9333333333333,9.43333333333333
2011,West Coast,12.12916666666665,12.9166666666666,11.25,16.74999999999995,7.499999999999995,16.68749999999995,17.4833333333333,15.74999999999995,21.5,11.81666666666665,7.549999999999995,8.349999999999994,6.699999999999995,12.0333333333333,3.13333333333333
2011,Whanganui,11.9083333333333,12.883333333333301,10.84999999999998,17.1833333333333,7.5333333333332995,16.14166666666665,17.26666666666665,15.0333333333333,21.9833333333333,11.23333333333333,7.658333333333315,8.483333333333317,6.68333333333333,12.366666666666665,3.8166666666666647
2012,Bay of Plenty,15.075,15.8666666666666,14,18.9666666666666,11.0666666666666,19.3833333333333,20.4666666666666,18.3666666666666,22.5333333333333,15.5,10.7333333333333,11.2,9.66666666666666,15.3666666666666,6.56666666666666
2012,Canterbury,11.258333333333301,11.3,10.7333333333333,15.7666666666666,6.7,16.766666666666602,17.3,16.3666666666666,20.7333333333333,11.7333333333333,5.74166666666666,5.23333333333333,5.13333333333333,10.7666666666666,1.66666666666666
2012,Capital & Coast,12.675,13,12.0666666666666,15.7666666666666,9.5,15.575,15.8,15.1666666666666,18.7333333333333,12.1,9.79166666666666,10.2,9,12.7666666666666,6.96666666666666
2012,Counties Manukau,15.425,15.9666666666666,14.4,19.0666666666666,11.8666666666666,19.025,19.8333333333333,17.766666666666602,22.5,15.5666666666666,11.8333333333333,12.1666666666666,11.0666666666666,15.6,8.16666666666666
