DHB,year,"Income-$5,000 or less","Income-$5,001-$10,000","Income-$10,001-$20,000","Income-$20,001-$30,000","Income-$30,001-$50,000","Income-$50,001-$70,000","Income-$70,001 or more","Income-> $5,000","Income-> $10,000","Income-> $20,000","Income-> $30,000","Income-> $50,000","Income-> $70,000"
Auckland,2018,15.347725520431766,5.241326137239785,13.619892058596761,10.321511179645336,17.983037779491134,14.198920585967617,23.28681572860447,84.65227447956823,79.41094834232845,65.79105628373169,55.46954510408636,37.48650732459522,23.28758673862761
Counties Manukau,2018,16.76470588235294,4.934077079107505,15.570124601564764,11.60822949869603,20.988843813387422,14.892784700086931,15.241234424804404,83.23529411764706,78.30121703853956,62.73109243697479,51.12286293827876,30.13401912489134,15.241234424804404
Waikato,2018,12.319214149802695,4.6022476965328485,18.804540384489208,14.500360868709402,20.487969480817718,14.160113228415833,15.125554191232297,87.68078585019731,83.07853815366445,64.27399776917525,49.77363690046585,29.285667419648135,15.125554191232297
Lakes,2018,11.628806526478655,4.620578099725718,19.238343062100007,16.11576060201139,21.439623039594906,13.583936985723327,13.369435262676701,88.37119347352134,83.75061537379563,64.51227231169563,48.396511709684226,26.956888670089313,13.372951684365987
Bay of Plenty,2018,10.857151821290747,4.2135977159351174,19.21689204028488,16.344554952467604,20.859348037523922,13.503592382267124,15.006431776111443,89.14284817870926,84.92925046277414,65.71235842248926,49.367803470021656,28.508455432497726,15.004863050230597
Tairawhiti,2018,11.690677264447755,4.884914720980295,21.493624772313296,17.593972512005298,20.707070707070706,12.733896340453718,10.887564166252691,88.30932273555224,83.42440801457195,61.930783242258656,44.33681073025336,23.62974002318265,10.895843682728923
Taranaki,2018,11.451612903225806,4.135483870967742,19.051612903225806,15.541935483870967,20.761290322580646,13.700000000000001,15.361290322580645,88.54838709677419,84.41290322580645,65.36129032258064,49.81935483870968,29.058064516129036,15.358064516129033
Hawke's Bay,2018,11.014684723776464,4.467079270102999,19.90545138968187,16.922830977230685,21.858085733208487,13.293900015986479,12.540251672870944,88.98531527622353,84.51823600612053,64.61278461643867,47.689953639207985,25.831867905999502,12.537967890013022
Whanganui,2018,11.27088548640624,4.540955929440531,22.49519706584386,18.163823717762124,21.40653199045235,12.446876637363918,9.6699074343599,88.72911451359376,84.18815858415323,61.69296151830937,43.52913780054725,22.122605810094896,9.675729172730982
MidCentral,2018,11.883494315753483,4.763227626292846,19.858534917514316,15.796221899307634,21.153517394649114,13.712710488075905,12.832293358406702,88.11650568424652,83.35327805795367,63.494743140439354,47.69852124113172,26.545003846482615,12.832293358406716
Hutt Valley,2018,12.649598545674898,4.196333888804727,15.502701610867039,13.088925920315104,19.565217391304348,15.346159672776851,19.648538100287833,87.3504014543251,83.15406756552038,67.65136595465333,54.56244003433823,34.99722264303388,19.65106297025703
Capital & Coast,2018,12.5374925014997,4.826634673065387,13.866826634673066,11.302939412117578,17.515296940611876,14.137972405518894,25.81403719256149,87.4625074985003,82.63587282543492,68.76904619076186,57.466106778644274,39.9508098380324,25.812837432513504
Wairarapa,2018,10.40542749713912,3.7845349027300967,19.64198136341344,17.189798921039724,21.709988556481935,13.078306359326467,14.181788458394637,89.59457250286088,85.81003760013078,66.16805623671735,48.978257315677624,27.268268759195692,14.18996239986923
Nelson Marlborough,2018,10.035381930981,4.228867778208608,18.832396277626987,17.109344707250873,22.513571151609153,13.774718883288095,13.50329585110508,89.964618069019,85.73575029081039,66.9033540131834,49.79400930593253,27.280438154323377,13.505719271035275
West Coast,2018,9.967659967659968,4.712404712404712,22.972972972972975,17.452067452067453,20.177870177870176,12.878262878262877,11.85031185031185,90.03234003234003,85.31993531993533,62.34696234696234,44.89489489489489,24.717024717024714,11.83876183876184
Canterbury,2018,11.728298498935583,4.514755592434145,15.998204435859591,13.590516156676575,20.934645546116755,15.892102918471865,17.341476851505487,88.27170150106441,83.75694590863027,67.75874147277068,54.16822531609411,33.233579769977354,17.34147685150549
South Canterbury,2018,9.724884080370941,3.975270479134467,19.765069551777433,16.41421947449768,21.53323029366306,14.788253477588873,13.799072642967541,90.27511591962906,86.2998454404946,66.53477588871715,50.12055641421948,28.587326120556412,13.799072642967545
Southern,2018,11.55343618513324,5.2476858345021045,17.289200561009817,15.21234221598878,21.703225806451613,14.750070126227207,14.24516129032258,88.44656381486676,83.19887798036466,65.90967741935484,50.69733520336605,28.99410939691444,14.244039270687239
Area Outside District Health Board,2018,13.559322033898304,5.084745762711865,11.864406779661017,8.47457627118644,23.728813559322035,20.33898305084746,15.254237288135593,86.4406779661017,81.35593220338983,69.49152542372882,61.016949152542374,37.28813559322034,16.94915254237287
