DHB,year,"Income-$5,000 or less","Income-$5,001-$10,000","Income-$10,001-$20,000","Income-$20,001-$30,000","Income-$30,001-$50,000","Income-$50,001-$70,000","Income-$70,001 or more","Income-> $5,000","Income-> $10,000","Income-> $20,000","Income-> $30,000","Income-> $50,000","Income-> $70,000"
Northland,2013,13.53201654722368,5.814834236438851,24.23818679717998,16.448173396259396,20.34900658393055,10.711996737167162,8.905785701800383,86.46798345277632,80.65314921633747,56.41496241915749,39.9667890228981,19.617782438967552,8.905785701800397
Waitemata,2013,16.524256984386216,5.1078132026793535,15.67295478393966,12.109951320346832,20.44861022351614,13.99165266239043,16.143971849432333,83.47574301561379,78.36792981293443,62.69497502899477,50.58502370864794,30.136413485131797,16.14476082274136
Auckland,2013,18.25965043462006,5.768763435835124,14.233105897747453,10.361716048228807,18.86998784933171,12.914291055238808,19.59155061220675,81.74034956537994,75.97158612954482,61.73848023179737,51.37676418356856,32.50677633423685,19.59248527899804
Counties Manukau,2013,19.50304959914074,5.738616747861445,16.26356975718286,12.128390041812114,21.658866853350723,12.894625800759524,11.810963213011624,80.49695040085926,74.7583336529978,58.494763895814955,46.366373854002845,24.70750700065213,11.812881199892601
Waikato,2013,13.969605582165453,5.3799302229318196,19.666489267340783,14.200224705812783,21.95494057122583,12.68641712494826,12.14239252557507,86.03039441783454,80.65046419490272,60.983974927561945,46.78375022174916,24.828809650523326,12.142392525575062
Lakes,2013,13.163366784196729,5.135159569659163,19.736009402404846,15.730946569026308,22.97712684205768,12.503390290208841,10.74948015550131,86.83663321580327,81.70147364614411,61.96546424373926,46.234517674712954,23.257390832655275,10.754000542446434
Bay of Plenty,2013,12.54460440506952,5.219228087445141,21.553668840490545,16.35905007998031,21.512653295599033,11.837086255690906,10.975759812969116,87.45539559493048,82.23616750748533,60.68249866699479,44.32344858701448,22.810795291415445,10.97370903572454
Tairawhiti,2013,13.831677992681652,6.001045478306325,22.02822791427078,16.623105070569785,21.892315734448513,11.2807109252483,8.332462101411396,86.16832200731835,80.16727652901203,58.13904861474124,41.515943544171456,19.623627809722947,8.342916884474647
Taranaki,2013,12.127397365786027,4.694600631595163,19.521682199799738,14.931063698682893,22.34460448278518,12.990063929754294,13.390587691596703,87.87260263421398,83.17800200261881,63.65631980281907,48.72525610413618,26.380651621351006,13.390587691596707
Hawke's Bay,2013,12.872186426726461,5.1346825239135985,21.30510062161165,16.528057676478102,22.49439414152309,11.856035877494252,9.806704322897449,87.12781357327354,81.99313104935993,60.68803042774829,44.15997275127019,21.6655786097471,9.80954273225285
Whanganui,2013,12.425910245554615,5.433248659328252,23.97685577194468,16.98419418571832,22.37510584250635,11.02878916172735,7.775896133220435,87.57408975444538,82.14084109511714,58.163985323172454,41.17979113745413,18.804685294947774,7.775896133220428
MidCentral,2013,13.515849411525457,5.823737258191616,21.39607005770355,15.648592999313657,21.92734944965556,11.624596456442717,10.068888380487556,86.48415058847455,80.66041333028292,59.26434327257938,43.615750273265725,21.688400823610166,10.06380436716745
Hutt Valley,2013,13.89467330617172,4.949449222876113,16.619888335596798,12.711634223630602,21.78663045118455,14.19345103365022,15.841255470046779,86.10532669382827,81.15587747095216,64.53598913535536,51.82435491172476,30.037724460540204,15.844273426889984
Capital & Coast,2013,13.90369054667456,5.425864839719191,14.497166539795314,11.359215089232851,18.958809100905015,13.7951450562463,22.06151850912064,86.09630945332543,80.67044461360625,66.17327807381093,54.81406298457809,35.85525388367307,22.060108827426774
Wairarapa,2013,11.641466548077874,4.7731989327008595,21.97845636920644,17.14596303982607,22.53187073821524,11.404288961359818,10.524755410613697,88.35853345192213,83.58533451922126,61.60687815001482,44.46091511018875,21.929044371973504,10.524755410613693
Nelson Marlborough,2013,11.47094962260839,4.993856415657364,21.113451524194023,17.222514773857586,23.24322742964133,12.056052893335673,9.894096307998362,88.52905037739161,83.53519396173425,62.42174243754022,45.199227663682635,21.956000234041312,9.899947340705637
West Coast,2013,11.134073882717646,5.386205114957375,22.797726685610954,14.673211056574528,20.847326272281062,13.291139240506327,11.88323430638078,88.86592611728236,83.47972100232498,60.681994316714025,46.008783260139495,25.16145698785843,11.870317747352104
Canterbury,2013,12.201300696861217,5.237672035017484,18.071048281933937,13.892372733539874,22.805385516250404,14.1299201807354,13.66146997018198,87.79869930313879,82.56102726812131,64.48997898618737,50.597606252647495,27.7922207363971,13.662300555661702
South Canterbury,2013,10.758226037195994,4.628040057224606,22.596566523605148,16.5379113018598,22.925608011444922,12.603719599427754,9.949928469241774,89.241773962804,84.6137339055794,62.017167381974254,45.47925608011445,22.55364806866953,9.949928469241783
Southern,2013,13.213039201153531,5.952268653900576,19.368792701497163,15.105043998544613,22.644763971053944,12.81145983532551,10.905979220289192,86.78696079884647,80.83469214494589,61.465899443448734,46.36085544490412,23.71609147385017,10.904631638524663
Area Outside District Health Board,2013,10.126582278481013,6.329113924050633,21.518987341772153,13.924050632911392,22.78481012658228,11.39240506329114,15.18987341772152,89.87341772151899,83.54430379746836,62.0253164556962,48.10126582278481,25.316455696202524,13.924050632911388
Northland,2018,11.991262115331594,5.041250450679731,23.013297703124007,16.826790524060993,19.598735975907193,12.02307480223113,11.511950966045259,88.0087378846684,82.96748743398868,59.95418973086467,43.12739920680367,23.528663230896484,11.505588428665348
Waitemata,2018,14.463598475903577,4.560801107969595,14.253620367238309,11.549434207923003,19.132898910539115,15.167567636565549,20.872717525194183,85.53640152409642,80.97560041612682,66.72198004888853,55.17254584096551,36.0396469304264,20.87207929386085
